ID,patient,scan
fd503db37,ID_00e394df,bf7891541c
207824a0b,ID_00e394df,bf7891541c
f76b7d819,ID_00e394df,bf7891541c
87bfb8113,ID_00e394df,bf7891541c
ca11e90b2,ID_00e394df,bf7891541c
8ecb2a813,ID_00e394df,bf7891541c
954a5804a,ID_00e394df,bf7891541c
e075faf1b,ID_00e394df,bf7891541c
1e404fef0,ID_00e394df,bf7891541c
ff008e972,ID_00e394df,bf7891541c
f17d3e525,ID_00e394df,bf7891541c
23af7ea26,ID_00e394df,bf7891541c
abc0e21ec,ID_00e394df,bf7891541c
468776906,ID_00e394df,bf7891541c
b43925e0e,ID_00e394df,bf7891541c
a3b6c1a81,ID_00e394df,bf7891541c
cd2a959bd,ID_00e394df,bf7891541c
1f797706f,ID_00e394df,bf7891541c
17cbe39ef,ID_00e394df,bf7891541c
da6b1de83,ID_00e394df,bf7891541c
fde8d98cc,ID_00e394df,bf7891541c
768f84763,ID_00e394df,bf7891541c
3de6a4d8a,ID_00e394df,bf7891541c
2f4e2ca8d,ID_00e394df,bf7891541c
4c74378c3,ID_00e394df,bf7891541c
e151db424,ID_00e394df,bf7891541c
5ffcdc9c6,ID_00e394df,bf7891541c
8b5e5b4fe,ID_00e394df,bf7891541c
d315e9179,ID_00e394df,bf7891541c
f4de31144,ID_00e394df,bf7891541c
28e4e2b42,ID_00e394df,bf7891541c
140c0073f,ID_00e394df,bf7891541c
eaa37af9c,ID_00e394df,bf7891541c
126012fe0,ID_00e394df,bf7891541c
2b5ce6b15,ID_00e394df,bf7891541c
c5829c865,ID_00e394df,bf7891541c
c8aa6abb1,ID_00e394df,bf7891541c
eee3cffaa,ID_00e394df,bf7891541c
9574f11b7,ID_00e394df,bf7891541c
d46bbcc9e,ID_00e394df,bf7891541c
db95a3d26,ID_015d2c2c,d580615f5f
234650cf7,ID_015d2c2c,d580615f5f
97420d3e0,ID_015d2c2c,d580615f5f
42f1adf03,ID_015d2c2c,d580615f5f
c135fccb9,ID_015d2c2c,d580615f5f
4de9d04f3,ID_015d2c2c,d580615f5f
8d403e0e1,ID_015d2c2c,d580615f5f
dbae3a777,ID_015d2c2c,d580615f5f
6575ac08f,ID_015d2c2c,d580615f5f
178a2e779,ID_015d2c2c,d580615f5f
